snapshot,ZM0 0,ZM0 1,ZM0 2,ZM0 3
2023-01-02 00:00:00,907.2626011754555,195.29968139133953,131.8813844242617,224.78651561596186
2023-01-02 01:00:00,887.6807004469938,191.08443106761788,129.03492279960963,219.93483625853477
2023-01-02 02:00:00,884.7774148821072,190.45946234844462,128.61289579311764,219.2155081994663
2023-01-02 03:00:00,884.7774148821072,190.45946234844462,128.61289579311764,219.2155081994663
2023-01-02 04:00:00,903.9124004041773,194.5785085551839,131.39439298954048,223.95645830177983
2023-01-02 05:00:00,984.2289206192187,211.86764930466046,143.0693522178559,243.85595675145376
2023-01-02 06:00:00,1004.0397749954852,216.13218477957403,145.94909497192126,248.7643624554325
2023-01-02 07:00:00,985.8793249623038,212.22291958908949,143.30925807239447,244.2648666317452
2023-01-02 08:00:00,1015.9508607259592,218.69619573425527,147.6805126167087,251.71549419511547
2023-01-02 09:00:00,1022.9589684502621,220.2047790307995,148.6992242308301,253.45184716984005
2023-01-02 10:00:00,1031.7080206209516,222.08812250731677,149.97100277783042,255.61954255356198
2023-01-02 11:00:00,1034.4401333228077,222.6762441156652,150.36814777758798,256.29646023288063
2023-01-02 12:00:00,1015.8572833348475,218.67605202432404,147.6669100325455,251.6923091374914
2023-01-02 13:00:00,1015.8572833348475,218.67605202432404,147.6669100325455,251.6923091374914
2023-01-02 14:00:00,1024.606335505537,220.55939550084128,148.93868857954578,253.86000452121328
2023-01-02 15:00:00,1016.1211657924725,218.73285604096947,147.7052684789223,251.75768956660292
2023-01-02 16:00:00,1029.214479644967,221.55135646238656,149.60853700925864,255.0017342290361
2023-01-02 17:00:00,1066.4205321589402,229.56042703621395,155.0168782195624,264.2200343040142
2023-01-02 18:00:00,1078.6842325409293,232.2003427278541,156.79955258798188,267.2585310676347
2023-01-02 19:00:00,1070.3870130902294,230.41426192494617,155.59345328816227,265.2027833191797
2023-01-02 20:00:00,1052.355141574356,226.5326748768556,152.97230680180567,260.7351445530315
2023-01-02 21:00:00,1063.2313076416149,228.87390636258303,154.55328659345574,263.4298610224993
2023-01-02 22:00:00,952.9655386554762,205.13781328053247,138.5248486862202,236.11003325709217
2023-01-02 23:00:00,945.3282784561561,203.49379700377034,137.41468229449447,234.21779929215919
2023-01-03 00:00:00,907.2626011754555,195.29968139133953,131.8813844242617,224.78651561596186
2023-01-03 01:00:00,884.7774148821072,190.45946234844462,128.61289579311764,219.2155081994663
2023-01-03 02:00:00,884.7774148821072,190.45946234844462,128.61289579311764,219.2155081994663
2023-01-03 03:00:00,887.6807004469938,191.08443106761788,129.03492279960963,219.93483625853477
2023-01-03 04:00:00,906.8156859690639,195.20347727435717,131.81641999603244,224.67578636084832
2023-01-03 05:00:00,984.2289206192187,211.86764930466046,143.0693522178559,243.85595675145376
2023-01-03 06:00:00,1025.377228078374,220.72533981913125,149.05074696221956,254.05100352760653
2023-01-03 07:00:00,1007.2167780451924,216.81607462864667,146.4109100626928,249.5515077039192
2023-01-03 08:00:00,1031.4441381633267,222.03131849067137,149.93264433145362,255.55416212445044
2023-01-03 09:00:00,1135.8944411053901,244.5155593922413,165.11573524436662,281.4331299370314
2023-01-03 10:00:00,1135.8944411053901,244.5155593922413,165.11573524436662,281.4331299370314
2023-01-03 11:00:00,1147.3756059779357,246.987024477107,166.78465879112449,284.277743000072
2023-01-03 12:00:00,1128.7927559899756,242.98683238576584,164.083421046082,279.6735919046828
2023-01-03 13:00:00,1128.7927559899756,242.98683238576584,164.083421046082,279.6735919046828
2023-01-03 14:00:00,1128.7927559899756,242.98683238576584,164.083421046082,279.6735919046828
2023-01-03 15:00:00,1129.0566384476006,243.04363640241124,164.1217794924588,279.73897233379427
2023-01-03 16:00:00,1142.149952300095,245.86213682382834,166.02504802279515,282.98301699622743
2023-01-03 17:00:00,1179.3560048140685,253.87120739765575,171.4333892330989,292.2013170712056
2023-01-03 18:00:00,1087.4332847116189,234.08368620437133,158.0713311349822,269.42622645135657
2023-01-03 19:00:00,1070.3870130902294,230.41426192494617,155.59345328816227,265.2027833191797
2023-01-03 20:00:00,1059.099366841034,227.9844541567544,153.9526599695503,262.40611709864453
2023-01-03 21:00:00,1063.2313076416149,228.87390636258303,154.55328659345574,263.4298610224993
2023-01-03 22:00:00,952.9655386554762,205.13781328053247,138.5248486862202,236.11003325709217
2023-01-03 23:00:00,948.2315640210427,204.11876572294364,137.83670930098648,234.93712735122767
