snapshot,ZM0 0 solar,ZM0 1 solar
2023-01-02 00:00:00,0.0,0.0
2023-01-02 01:00:00,0.0,0.0
2023-01-02 02:00:00,0.0,0.0
2023-01-02 03:00:00,0.0,0.0
2023-01-02 04:00:00,0.0,0.0
2023-01-02 05:00:00,0.019056023412678938,0.015613893050351062
2023-01-02 06:00:00,0.07692408425331167,0.07280738297635056
2023-01-02 07:00:00,0.06525081036327421,0.07514719011497803
2023-01-02 08:00:00,0.08065043829705214,0.10248051270929753
2023-01-02 09:00:00,0.12964377241466932,0.13178188156495113
2023-01-02 10:00:00,0.19294505929256,0.15948009999542345
2023-01-02 11:00:00,0.14243048113238796,0.17532951540874295
2023-01-02 12:00:00,0.17378306745764982,0.19748111504677426
2023-01-02 13:00:00,0.09985265353807331,0.15072009083208776
2023-01-02 14:00:00,0.09105591413794328,0.1409955870875201
2023-01-02 15:00:00,0.07990454972033592,0.08430431730739157
2023-01-02 16:00:00,0.036802968973097955,0.047911234343568074
2023-01-02 17:00:00,0.0,0.0
2023-01-02 18:00:00,0.0,0.0
2023-01-02 19:00:00,0.0,0.0
2023-01-02 20:00:00,0.0,0.0
2023-01-02 21:00:00,0.0,0.0
2023-01-02 22:00:00,0.0,0.0
2023-01-02 23:00:00,0.0,0.0
2023-01-03 00:00:00,0.0,0.0
2023-01-03 01:00:00,0.0,0.0
2023-01-03 02:00:00,0.0,0.0
2023-01-03 03:00:00,0.0,0.0
2023-01-03 04:00:00,0.0,0.0
2023-01-03 05:00:00,0.02825782600896237,0.0
2023-01-03 06:00:00,0.12394302336433086,0.06247741655205434
2023-01-03 07:00:00,0.2794705007417829,0.12437032591300899
2023-01-03 08:00:00,0.38590466229150955,0.19944207550002999
2023-01-03 09:00:00,0.5229758258231063,0.2806612735876097
2023-01-03 10:00:00,0.5232964399359629,0.2984316826011474
2023-01-03 11:00:00,0.541875263407518,0.32036095880757237
2023-01-03 12:00:00,0.45722410273306724,0.3322411032421753
2023-01-03 13:00:00,0.380548706774875,0.2873594036871938
2023-01-03 14:00:00,0.2621286434466007,0.2428570632706488
2023-01-03 15:00:00,0.16013623559637702,0.17983808394719605
2023-01-03 16:00:00,0.07036871926593992,0.08927202882966188
2023-01-03 17:00:00,0.0,0.0
2023-01-03 18:00:00,0.0,0.0
2023-01-03 19:00:00,0.0,0.0
2023-01-03 20:00:00,0.0,0.0
2023-01-03 21:00:00,0.0,0.0
2023-01-03 22:00:00,0.0,0.0
2023-01-03 23:00:00,0.0,0.0
